iter	Passed	Remaining
639	34076	19168
640	34110	19103
641	34145	19040
642	34189	18982
643	34233	18923
644	34290	18873
645	34356	18827
646	34422	18780
647	34483	18731
648	34550	18685
649	34613	18637
650	34672	18587
651	34734	18539
652	34806	18495
653	34867	18446
654	34925	18395
655	34987	18347
656	35059	18303
657	35120	18254
658	35185	18206
659	35244	18156
660	35301	18104
661	35360	18054
662	35421	18004
663	35479	17953
664	35548	17907
665	35613	17860
666	35680	17813
667	35765	17775
668	35841	17733
669	35906	17685
670	35974	17638
671	36038	17590
672	36101	17541
673	36168	17493
674	36243	17450
675	36306	17401
676	36376	17355
677	36441	17306
678	36514	17262
679	36579	17213
680	36642	17164
681	36704	17114
682	36779	17070
683	36840	17019
684	36905	16971
685	36951	16913
686	36990	16853
687	37029	16792
688	37075	16734
689	37106	16671
690	37142	16609
691	37175	16546
692	37219	16488
693	37262	16429
694	37305	16371
695	37338	16308
696	37372	16246
697	37404	16183
698	37443	16123
699	37477	16061
700	37512	16000
701	37549	15939
702	37595	15883
703	37636	15824
704	37678	15766
705	37720	15707
706	37773	15654
707	37826	15600
708	37882	15548
709	37932	15493
710	37980	15437
711	38028	15382
712	38105	15338
713	38177	15292
714	38248	15246
715	38310	15195
716	38362	15141
717	38430	15093
718	38479	15038
719	38516	14978
720	38561	14921
721	38605	14864
722	38646	14806
723	38684	14747
724	38722	14687
725	38779	14635
726	38819	14577
727	38859	14518
728	38900	14460
729	38937	14401
730	38977	14343
731	39019	14285
732	39061	14228
733	39105	14171
734	39143	14113
735	39204	14062
736	39275	14015
737	39339	13966
738	39404	13917
739	39475	13869
740	39543	13821
741	39606	13771
742	39674	13723
743	39740	13674
744	39809	13626
745	39874	13576
746	39937	13526
747	40003	13476
748	40074	13429
749	40137	13379
750	40197	13327
751	40231	13267
752	40269	13209
753	40329	13157
754	40391	13107
755	40451	13055
756	40513	13005
757	40568	12952
758	40608	12894
759	40641	12834
760	40678	12775
761	40718	12717
762	40771	12664
763	40820	12609
764	40868	12554
765	40915	12499
766	40949	12439
767	40991	12382
768	41041	12328
769	41110	12279
770	41162	12225
771	41193	12166
772	41251	12113
773	41313	12063
774	41378	12013
775	41441	11962
776	41487	11907
777	41546	11855
778	41600	11801
779	41643	11745
780	41681	11687
781	41720	11630
782	41768	11575
783	41799	11516
784	41835	11458
785	41893	11406
786	41959	11356
787	42006	11301
788	42060	11248
789	42116	11195
790	42178	11144
791	42233	11091
792	42297	11040
793	42358	10989
794	42431	10941
795	42492	10890
796	42543	10836
797	42580	10778
798	42613	10720
799	42649	10662
800	42688	10605
801	42723	10547
802	42757	10489
803	42799	10433
804	42849	10379
805	42908	10327
806	42970	10276
807	43015	10221
808	43050	10164
809	43105	10111
810	43173	10061
811	43238	10010
812	43303	9960
813	43345	9904
814	43409	9853
815	43468	9801
816	43534	9751
817	43602	9701
818	43664	9649
819	43711	9595
820	43749	9538
821	43787	9481
822	43824	9425
823	43859	9367
824	43900	9312
825	43954	9259
826	44020	9208
827	44082	9157
828	44121	9100
829	44159	9044
830	44198	8988
831	44235	8932
832	44278	8876
833	44316	8820
834	44352	8764
835	44395	8709
836	44454	8657
837	44515	8605
838	44570	8552
839	44610	8497
840	44650	8441
841	44686	8385
842	44725	8329
843	44765	8274
844	44811	8219
845	44847	8163
846	44882	8107
847	44927	8053
848	44964	7997
849	45022	7945
850	45073	7891
851	45120	7837
852	45165	7783
853	45202	7727
854	45240	7672
855	45284	7617
856	45328	7563
857	45370	7508
858	45407	7453
859	45454	7399
860	45493	7344
861	45546	7291
862	45584	7236
863	45621	7181
864	45658	7125
865	45700	7071
866	45737	7016
867	45778	6961
868	45831	6908
869	45884	6856
870	45919	6801
871	45960	6746
872	45997	6691
873	46031	6636
874	46070	6581
875	46102	6525
876	46172	6475
877	46207	6420
878	46253	6367
879	46291	6312
880	46334	6258
881	46386	6205
882	46430	6152
883	46476	6098
884	46533	6046
885	46575	5992
886	46624	5939
887	46667	5885
888	46703	5831
889	46742	5777
890	46779	5722
891	46820	5668
892	46868	5615
893	46906	5561
894	46947	5507
895	46984	5453
896	47020	5399
897	47056	5344
898	47111	5292
899	47150	5238
900	47186	5184
901	47233	5131
902	47307	5081
903	47380	5031
904	47448	4980
905	47512	4929
906	47588	4879
907	47659	4828
908	47719	4777
909	47770	4724
910	47840	4673
911	47941	4625
912	48008	4574
913	48079	4523
914	48151	4473
915	48209	4420
916	48278	4369
917	48348	4318
918	48414	4267
919	48460	4213
920	48507	4160
921	48546	4107
922	48589	4053
923	48626	3999
924	48666	3945
925	48723	3893
926	48784	3841
927	48853	3790
928	48922	3738
929	48988	3687
930	49052	3635
931	49124	3584
932	49174	3531
933	49218	3477
934	49275	3425
935	49339	3373
936	49403	3321
937	49469	3269
938	49534	3217
939	49602	3166
940	49668	3114
941	49731	3061
942	49793	3009
943	49857	2957
944	49917	2905
945	49985	2853
946	50048	2801
947	50125	2749
948	50207	2698
949	50274	2646
950	50334	2593
951	50402	2541
952	50469	2489
953	50522	2436
954	50562	2382
955	50599	2328
956	50656	2276
957	50696	2222
958	50757	2170
959	50815	2117
960	50882	2064
961	50947	2012
962	51011	1959
963	51077	1907
964	51148	1855
965	51213	1802
966	51280	1750
967	51332	1696
968	51386	1643
969	51454	1591
970	51515	1538
971	51580	1485
972	51648	1433
973	51712	1380
974	51777	1327
975	51840	1274
976	51907	1221
977	51969	1169
978	52021	1115
979	52080	1062
980	52127	1009
981	52176	956
982	52240	903
983	52302	850
984	52367	797
985	52441	744
986	52508	691
987	52556	638
988	52599	585
989	52638	531
990	52673	478
991	52708	425
992	52762	371
993	52831	318
994	52891	265
995	52950	212
996	53011	159
997	53075	106
998	53136	53
999	53194	0
